experimental_results,kis,tts,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,0.0025072197567028685,0.00272294590559212,0.002470793320412962,0.0026211525282152605,0.002353864457441732
2,0.004341543316154862,0.0037833716464047173,0.0032415518806641,0.0033460456640411577,0.003367156571660214
3,0.005782608323891421,0.0052167608399368605,0.004314032548674203,0.004187226977099309,0.004550370502416969
4,0.007011201474821249,0.006449854484387055,0.005635333188773959,0.005577047632913155,0.005696608200302792
5,0.007701014174512409,0.007302176154617745,0.00658656661254971,0.006032816840199749,0.006639247589280262
6,0.008571245359525987,0.008058947314218289,0.007356778722905051,0.00674534536362365,0.007276620278622381
7,0.009378516571034282,0.009055949050399388,0.00782159232998472,0.00729151825195811,0.007660222552111121
8,0.010046047539263555,0.00986292278842145,0.008241614516547445,0.007682238991547634,0.007988908339362633
9,0.010863766725842711,0.010594671295036315,0.00871549979574707,0.008147665712677412,0.008579790303288013
10,0.011910265602962667,0.011762415581692276,0.009509872018191796,0.008814059361460215,0.009255637402281388
20,0.019412945695078343,0.019212199675262973,0.01563008296088819,0.014166208021012424,0.014264629996974445
30,0.025561733301856304,0.02506750802745131,0.019575964236401126,0.01913493931682511,0.018095292443732338
40,0.0293984821393012,0.028960976949489053,0.02205442339961887,0.022157655631156268,0.020739549919426656
50,0.03221023269119224,0.03354807073035164,0.02453484881744022,0.024679956939958454,0.023661074827813038
60,0.03488097781035733,0.03682984261087176,0.025655952738783627,0.026618898806305774,0.02581027037661218
70,0.0372861691187517,0.040159283387062865,0.02692085918969121,0.027645062128572016,0.02664848008110222
80,0.03908764697922442,0.04232644540130064,0.027696514500714087,0.02895373601246735,0.02792524319939751
90,0.04062399347901372,0.04448351308971135,0.028607567931138427,0.030245021783953243,0.02932890878044785
100,0.041979213378200986,0.04627819267496498,0.02855452113713828,0.030569166730308673,0.030142439229150938
