,uqv_5,tts_s3,kis_s3,qcmcqg_tts_s6,qcmcqg_tts_s7,qcmcqg_tts_s8
1,2.7730473147012584,2.0349738524327905,3.2650525475498955,2.905782210787755,3.2854720079843016,2.4389472875765943
2,4.092761178199432,2.9143305614510844,4.727442308221026,4.296170045651236,4.71571234556393,3.689519650277396
3,5.026905972157251,3.627485005621669,5.860767297193018,5.290370850739446,5.828922288890053,4.642547395011671
4,5.78659947003706,4.176232656956317,6.758599743076188,6.126568664118678,6.740304300094644,5.371387551071468
5,6.366192050451656,4.666517680953532,7.618662465382504,6.863810776364556,7.452218590269361,5.926002808244131
6,6.9709456429610945,5.122442553372233,8.39027974311292,7.568543293494067,8.149648488986639,6.488373874893142
7,7.485638906943345,5.584115960567733,9.103026744110448,8.225425337363903,8.866772982234792,7.031975820952249
8,8.060510588420819,5.992905821399529,9.792509091584288,8.873633659215693,9.470047907118001,7.544377001886489
9,8.565779973341947,6.379724684947366,10.4300111141018,9.33288241085606,10.015635966126045,7.994284178820933
10,9.02409384961907,6.741151823796774,11.039684633509424,9.861269814786159,10.587993832410804,8.436220631291967
20,12.391021621095732,9.477603250473482,15.75214182162582,13.561084886310757,14.722763143771255,11.732508128700115
30,14.823019097388391,11.535082041922855,19.34909255744981,16.38187551413717,18.03670819458032,14.338513045929787
40,16.954629930048238,13.237366566871001,22.448445498650322,18.656690121611053,20.645827594237627,16.36282290619735
50,18.59421595504434,14.667764699881861,24.991730454910474,20.616588924640922,22.848873183956716,18.089623076937215
60,20.074792246316395,15.995825533571736,27.13319827421573,22.261571522584095,24.7099326467227,19.55983948443263
70,21.35659876127042,17.286577147635963,29.213516668827424,23.72695181369787,26.38418041572538,20.919321592228297
80,22.445783587984288,18.41260191577045,30.99443676308771,25.027421665939237,27.920427763917964,22.1103290793802
90,23.60399632292549,19.372454775999824,32.600845153294344,26.27551813052958,29.26758241035366,23.11607405505953
100,24.633843709698123,20.302043245985676,34.08169590989858,27.430890696243164,30.550742615789606,24.151158402119126
